sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
187096,hold,276590,266299,457111
187156,short,412882,494352,92766
187216,long,453930,330393,215677
187276,long,415521,283216,301263
187336,long,362517,261053,376430
187396,hold,345575,280997,373428
187456,hold,256380,274015,469604
187516,hold,273582,275139,451280
187576,hold,273488,243727,482786
187636,hold,311367,282497,406136
187696,hold,321099,293349,385553
187756,short,336631,389351,274019
187816,hold,242333,265645,492022
187876,hold,268140,265867,465993
187936,short,289231,364161,346609
187996,hold,288026,270305,441669
188056,long,440007,358487,201506
188116,hold,279081,338935,381984
188176,long,453707,332981,213312
188236,hold,344815,315506,339679
188296,hold,333501,289522,376977
188356,hold,298882,279279,421839
188416,hold,282003,246953,471043
188476,hold,289709,253542,456749
188536,long,395575,309309,295116
188596,hold,331526,259801,408673
188656,hold,302205,302706,395089
188716,short,319206,367076,313718
188776,long,388913,292147,318940
188836,hold,316142,286101,397757
188896,hold,275153,260016,464831
188956,hold,259163,245812,495024
189016,hold,258141,259950,481909
189076,short,426064,456616,117320
189136,long,529488,268834,201678
189196,hold,288300,259100,452600
189256,hold,322868,273066,404066
189316,hold,258145,271266,470589
189376,long,373389,292577,334033
189436,hold,311414,332427,356159
189496,long,480419,305661,213919
189556,long,649131,282870,67999
189616,long,434645,321362,243992
189676,hold,257240,261034,481725
189736,long,601723,276288,121988
189796,long,561531,260827,177642
189856,long,377729,273522,348749
189916,hold,325864,321295,352841
189976,hold,285285,262359,452356
190036,hold,223146,250770,526084
190096,hold,332169,325386,342445
190156,long,389744,315037,295220
190216,long,397787,259684,342529
190276,long,367772,264189,368040
190336,hold,334019,279307,386674
190396,hold,269828,298830,431342
190456,hold,271696,272414,455890
190516,hold,255573,268220,476207
190576,hold,257462,249562,492977
190636,hold,265839,247963,486198
190696,hold,285707,309024,405269
190756,hold,249844,253104,497051
190816,hold,271170,273081,455749
190876,long,410281,273410,316309
190936,short,448137,460299,91564
190996,short,343933,420475,235592
191056,short,343750,491143,165107
191116,long,366030,258807,375164
191176,hold,329864,340483,329654
191236,hold,274965,271498,453537
191296,hold,342076,279791,378133
191356,hold,332343,270518,397139
191416,hold,342304,270298,387398
191476,hold,296258,268128,435614
191536,hold,272941,246350,480708
191596,hold,327474,305480,367046
191656,hold,331427,274651,393922
191716,hold,258615,259301,482084
191776,hold,260323,273012,466665
191836,hold,228022,236846,535131
191896,hold,239734,245177,515089
191956,hold,267149,260499,472352
192016,hold,324986,306669,368344
192076,long,368730,266454,364815
192136,hold,239363,271168,489469
192196,hold,287487,288822,423692
192256,hold,248022,254861,497117
192316,hold,288155,261066,450780
192376,long,483309,385137,131554
192436,long,398666,301874,299459
192496,hold,303592,283932,412477
192556,long,378524,302875,318601
192616,hold,342726,302022,355251
192676,hold,285046,255466,459488
192736,hold,262563,233448,503990
192796,hold,265286,267332,467382
192856,hold,224999,227511,547489
192916,hold,241216,263512,495272
192976,hold,270238,278242,451520
193036,hold,248988,242295,508717
193096,hold,321098,294593,384309
193156,hold,273975,248781,477244
193216,hold,284798,252575,462627
193276,hold,255973,242759,501267
193336,hold,305624,271059,423318
193396,hold,284737,239955,475308
193456,hold,305061,261886,433053
193516,hold,295145,260678,444177
193576,hold,350427,253167,396405
193636,hold,287936,286893,425171
193696,hold,272699,271300,456001
193756,hold,291300,283406,425294
193816,long,526463,355915,117621
193876,long,449834,296608,253558
193936,hold,324007,300166,375827
193996,hold,314885,303735,381380
194056,hold,326303,298979,374718
194116,long,417511,302138,280351
194176,long,376069,293642,330289
194236,hold,347660,313339,339001
194296,hold,346355,338149,315497
194356,hold,289882,258088,452030
194416,hold,326914,331581,341505
194476,hold,317186,276822,405991
194536,hold,269448,275436,455115
194596,hold,338173,243080,418747
194656,hold,275238,259288,465474
194716,hold,249831,262370,487799
194776,hold,273882,250034,476084
194836,hold,263177,257778,479045
194896,hold,348110,352793,299098
194956,hold,275485,295670,428845
195016,hold,277329,277104,445566
195076,hold,255824,265523,478654
195136,hold,279794,285381,434825
195196,hold,239555,239387,521057
195256,long,395891,302300,301810
195316,hold,298182,317276,384542
195376,hold,298426,303289,398285
195436,hold,343241,263751,393007
195496,hold,273091,257016,469893
195556,hold,298446,258458,443096
195616,hold,248101,239961,511938
195676,hold,334047,329655,336297
195736,hold,286557,275547,437897
195796,hold,250302,299596,450102
195856,hold,295039,328550,376411
195916,hold,319127,258220,422653
195976,hold,320552,262457,416991
196036,hold,272029,281419,446552
196096,hold,246248,258573,495179
196156,hold,221078,235572,543350
196216,hold,225221,231814,542965
196276,hold,213463,227371,559166
196336,hold,228859,248246,522895
196396,hold,288477,247037,464486
196456,hold,277200,256924,465875
196516,hold,253898,239392,506710
196576,hold,247513,263811,488676
196636,hold,264985,268392,466623
196696,hold,267789,258516,473695
196756,hold,257988,290611,451401
196816,hold,230988,234600,534412
196876,hold,230924,239379,529697
196936,short,313093,434302,252605
196996,hold,239990,233124,526885
197056,hold,230130,250027,519843
197116,hold,255840,268607,475552
197176,hold,307078,267852,425070
197236,hold,254576,275319,470105
197296,hold,227560,239930,532510
197356,hold,253390,246266,500344
197416,hold,227193,239783,533024
197476,hold,245426,257385,497189
197536,hold,213198,227164,559638
197596,hold,188531,220435,591034
197656,hold,217888,245005,537107
197716,hold,225199,231840,542961
197776,hold,262082,305453,432466
197836,hold,242033,274506,483462
197896,hold,245892,265015,489094
197956,hold,199481,224947,575571
198016,hold,229984,234251,535765
198076,hold,194373,235394,570233
198136,hold,282483,268718,448799
198196,hold,343167,324795,332038
198256,hold,325609,307372,367019
198316,hold,329283,305483,365234
198376,long,563806,302089,134105
198436,long,390676,374816,234508
198496,long,466744,282897,250359
198556,hold,283779,272384,443837
198616,long,375528,287188,337284
198676,short,363899,450159,185942
198736,short,365614,410552,223833
198796,long,557474,297808,144718
198856,hold,359007,316904,324090
198916,long,373949,306257,319795
198976,long,474413,401217,124370
199036,long,485384,356593,158023
199096,short,388880,392465,218655
199156,long,386517,292037,321445
199216,hold,330326,317982,351691
199276,hold,320372,278884,400744
199336,hold,305204,271860,422935
199396,hold,316039,281098,402863
199456,hold,301355,312568,386076
199516,hold,319904,279355,400740
199576,hold,345434,323046,331520
199636,hold,296782,328057,375161
199696,hold,340393,283367,376240
199756,short,340276,370935,288789
199816,hold,337008,298927,364065
199876,long,420886,270715,308399
199936,hold,301302,286183,412515
199996,hold,304126,242456,453419
200056,hold,296172,310674,393155
200116,hold,235767,236966,527266
200176,short,317569,378075,304356
200236,long,455176,289735,255089
200296,hold,345620,304424,349956
200356,hold,346755,239816,413429
200416,hold,323353,264821,411826
200476,hold,234679,278511,486810
200536,hold,311785,301922,386293
200596,hold,320945,322823,356232
200656,hold,316182,265011,418807
200716,hold,247639,255059,497301
200776,hold,226781,248693,524526
200836,hold,287591,298854,413555
200896,hold,240415,250306,509279
200956,hold,265504,239980,494517
201016,long,373994,305259,320747
201076,hold,327708,290289,382003
201136,hold,319154,288957,391889
201196,short,296222,536926,166853
201256,hold,283732,268350,447918
201316,long,403055,292726,304220
201376,hold,342292,320054,337654
201436,long,395423,309190,295387
201496,long,387245,299191,313564
201556,hold,297065,282565,420370
201616,hold,341095,314116,344789
201676,hold,351831,282077,366091
201736,long,361491,302759,335751
201796,hold,249755,256784,493462
201856,hold,261384,238974,499642
201916,long,374229,326549,299222
201976,hold,312539,268904,418557
202036,short,350227,382735,267038
202096,long,437605,308549,253847
202156,hold,299034,255479,445486
202216,short,318558,374283,307159
202276,hold,284083,295617,420300
202336,hold,277238,260633,462129
202396,hold,301838,280080,418082
202456,short,356654,403400,239946
202516,short,408853,491474,99673
202576,long,468284,321907,209809
202636,long,487469,446787,65744
202696,long,756275,187918,55807
202756,long,502711,352387,144902
202816,long,422314,334983,242703
202876,hold,350457,289266,360277
202936,hold,312624,263954,423422
202996,short,305460,448280,246260
203056,long,507805,334693,157502
203116,long,440275,335621,224103
