sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
139156,long,606633,393365,2
139216,long,605783,369002,25216
139276,long,659296,324015,16689
139336,long,539110,397496,63394
139396,long,574339,381778,43884
139456,long,543223,350906,105871
139516,long,373406,246014,380580
139576,long,357330,278836,363834
139636,short,323852,424029,252119
139696,long,414288,297724,287988
139756,long,516582,387672,95746
139816,long,355863,327742,316395
139876,long,402853,361722,235425
139936,long,356815,301318,341867
139996,long,341358,340191,318452
140056,long,340159,337154,322688
140116,long,378434,272693,348873
140176,short,355387,386984,257629
140236,hold,321173,335768,343058
140296,hold,322428,301648,375924
140356,short,350297,401397,248306
140416,short,313415,376261,310324
140476,short,383149,501402,115449
140536,long,561067,361933,77000
140596,long,519948,440956,39096
140656,short,389952,429450,180598
140716,long,524917,451687,23396
140776,long,514278,380621,105102
140836,long,472548,442607,84845
140896,long,548702,315178,136120
140956,long,392219,283784,323997
141016,long,474668,339954,185378
141076,long,551569,325915,122516
141136,long,552203,388116,59682
141196,short,327362,659097,13540
141256,long,567703,331793,100504
141316,long,546189,366980,86831
141376,long,675064,309102,15834
141436,long,549012,334145,116842
141496,long,441624,423150,135226
141556,long,594141,361843,44016
141616,long,396678,364610,238711
141676,hold,335441,302877,361682
141736,long,368041,342115,289844
141796,long,583169,403335,13496
141856,long,576830,353848,69323
141916,long,471292,329553,199156
141976,long,523229,450770,26001
142036,long,595614,335065,69321
142096,long,516513,318153,165335
142156,long,516328,338489,145183
142216,long,621091,375357,3552
142276,long,673238,301338,25424
142336,hold,328395,321967,349637
142396,long,416031,385733,198236
142456,long,497210,370238,132552
142516,short,308800,358270,332931
142576,long,365508,343996,290496
142636,long,379513,373659,246828
142696,long,342305,269546,388149
142756,short,340624,470607,188769
142816,hold,287546,283671,428784
142876,hold,256124,249415,494462
142936,hold,294946,277827,427227
142996,hold,268100,294566,437334
143056,long,434817,318306,246876
143116,long,349133,284461,366406
143176,hold,288689,278816,432495
143236,hold,330388,323911,345701
143296,long,348095,327784,324121
143356,long,451459,367864,180678
143416,long,660173,320907,18920
143476,short,392524,545462,62014
143536,long,603788,384736,11476
143596,long,505495,449222,45282
143656,short,395201,409786,195013
143716,long,445665,394189,160147
143776,long,433439,352065,214497
143836,hold,297867,322598,379536
143896,long,389591,271381,339028
143956,hold,297180,334097,368723
144016,short,342344,350356,307301
144076,long,443100,299567,257333
144136,long,387113,304057,308830
144196,long,344999,298791,356210
144256,long,373610,289132,337258
144316,hold,278856,289560,431584
144376,hold,273759,305711,420529
144436,hold,316212,274875,408913
144496,long,435292,371359,193350
144556,long,392096,301647,306257
144616,hold,331833,311974,356193
144676,hold,277599,334412,387989
144736,long,425024,355414,219562
144796,short,337755,348130,314115
144856,long,548325,384016,67659
144916,long,544223,372869,82908
144976,short,328569,352601,318829
145036,long,390984,309296,299720
145096,long,448375,340207,211418
145156,long,412529,350899,236572
145216,hold,317843,298082,384075
145276,hold,238927,226619,534453
145336,hold,331293,327449,341259
145396,hold,203933,254531,541536
145456,hold,298344,295222,406433
145516,hold,263913,260813,475274
145576,hold,262933,252320,484747
145636,hold,325738,300687,373575
145696,hold,305126,254959,439915
145756,long,360202,270770,369028
145816,hold,299422,274799,425779
145876,long,359823,285619,354558
145936,hold,328426,327761,343813
145996,hold,246765,276924,476311
146056,hold,215377,232461,552162
146116,hold,247051,212323,540626
146176,hold,239575,225524,534901
146236,hold,307004,287330,405665
146296,short,400124,408605,191271
146356,long,464329,345664,190007
146416,long,380259,344693,275048
146476,hold,292860,314645,392496
146536,hold,282070,232402,485528
146596,hold,233605,265355,501040
146656,hold,333273,283022,383705
146716,hold,329925,319705,350369
146776,long,350421,264333,385245
146836,hold,247920,269979,482102
146896,hold,299902,248603,451496
146956,hold,277824,265075,457102
147016,long,383016,331247,285737
147076,long,378876,280228,340896
147136,short,374778,385067,240155
147196,short,353195,364875,281929
147256,long,353801,291268,354932
147316,hold,302013,242548,455439
147376,hold,312646,285920,401434
147436,hold,217505,249739,532756
147496,hold,265411,275497,459093
147556,hold,261153,280024,458823
147616,long,380511,302546,316943
147676,long,377442,299740,322819
147736,long,470995,352301,176703
147796,long,379846,297367,322787
147856,long,419197,318457,262346
147916,hold,331999,307529,360472
147976,hold,330627,333253,336120
148036,long,365413,303097,331490
148096,long,667535,274539,57926
148156,long,606402,318937,74661
148216,long,529367,310974,159659
148276,long,399652,301002,299346
148336,long,438352,326314,235334
148396,long,459471,313701,226828
148456,long,435457,302441,262102
148516,long,419822,402111,178066
148576,long,353409,291453,355138
148636,hold,264792,277804,457403
148696,long,379718,303274,317008
148756,short,355786,452807,191407
148816,hold,256619,280185,463197
148876,hold,269104,242785,488111
148936,hold,313285,290105,396609
148996,long,366296,281809,351895
149056,hold,263922,295543,440535
149116,hold,331217,259293,409491
149176,long,550482,375707,73812
149236,long,494032,440283,65685
149296,long,537332,362355,100313
149356,long,381666,330117,288217
149416,hold,313537,338005,348457
149476,hold,301561,289969,408471
149536,hold,314527,279329,406143
149596,long,378982,247217,373801
149656,hold,318598,323941,357462
149716,hold,325046,255955,418999
149776,short,322537,347954,329510
149836,hold,280515,275565,443919
149896,hold,300875,257729,441396
149956,hold,287254,254774,457973
150016,hold,264382,243478,492140
150076,hold,273896,244936,481169
150136,hold,268845,272606,458549
150196,hold,318950,268188,412861
150256,hold,254389,249051,496560
150316,long,346479,283347,370174
150376,hold,322262,316778,360960
150436,hold,309525,302835,387640
150496,hold,293847,256646,449507
150556,hold,290361,305106,404533
150616,long,473989,382727,143284
150676,long,551546,303338,145116
150736,long,393962,314268,291770
150796,long,361010,270363,368627
150856,short,412312,445242,142446
150916,hold,324050,309982,365968
150976,long,359185,264800,376015
151036,long,380378,307544,312078
151096,long,364719,325151,310131
151156,long,354488,272709,372802
151216,hold,316666,330263,353071
151276,long,354379,315408,330213
151336,hold,318433,281051,400516
151396,hold,263212,242835,493952
151456,hold,288380,284300,427320
151516,hold,272546,252594,474861
151576,long,436190,277091,286719
151636,hold,259018,269073,471910
151696,hold,333526,295423,371051
151756,long,396979,301159,301862
151816,long,347171,254330,398500
151876,hold,292957,272764,434279
151936,hold,281031,255776,463193
151996,hold,277140,263170,459690
152056,long,343774,329082,327143
152116,long,385082,340873,274046
152176,long,345784,304098,350118
152236,hold,323874,301679,374447
152296,long,607713,371356,20931
152356,long,481267,291913,226820
152416,long,344892,284510,370599
152476,hold,338633,275666,385701
152536,hold,274448,271032,454520
152596,hold,238359,256895,504745
152656,hold,293409,264558,442033
152716,hold,311776,254716,433508
152776,hold,266902,307147,425951
152836,hold,265988,233537,500475
152896,hold,242017,245131,512852
152956,hold,207073,213066,579860
153016,hold,224711,223112,552176
153076,hold,234541,231010,534449
153136,hold,249003,268972,482025
153196,hold,307706,283321,408972
153256,hold,229308,307977,462714
153316,hold,197271,233133,569596
153376,hold,266285,232791,500925
153436,hold,252949,266021,481030
153496,long,377219,318310,304471
153556,short,356358,384148,259494
153616,short,338331,351750,309919
153676,hold,305279,279601,415121
153736,long,350111,299472,350416
153796,hold,321885,319620,358495
153856,hold,287321,268730,443949
153916,hold,234705,243846,521449
153976,hold,231194,223242,545564
154036,hold,296473,240312,463215
154096,hold,187583,221248,591170
154156,hold,292485,244156,463360
154216,hold,212209,235163,552627
154276,hold,219056,209414,571530
154336,hold,212906,259626,527468
154396,hold,208115,218077,573808
154456,hold,222904,220877,556219
154516,hold,259789,235721,504490
154576,hold,247555,223244,529201
154636,hold,207276,230580,562144
154696,hold,221481,214310,564210
154756,hold,225430,207485,567086
154816,hold,153209,192724,654067
154876,hold,170812,203238,625951
154936,hold,225609,225625,548767
154996,hold,230991,236444,532566
155056,hold,221892,221775,556333
155116,hold,250276,214272,535452
155176,hold,219543,208825,571632
155236,hold,170361,198371,631269
155296,hold,251470,212655,535875
155356,hold,252605,219740,527655
155416,hold,218445,209105,572450
155476,hold,236693,266990,496317
155536,hold,196699,201169,602132
155596,hold,200580,190596,608823
155656,hold,267912,264122,467967
155716,hold,200452,222181,577366
155776,hold,189631,205301,605068
155836,hold,190475,208040,601485
155896,hold,202481,217536,579982
155956,hold,220033,196693,583275
156016,hold,178134,200409,621457
156076,hold,187815,202800,609386
156136,hold,199199,232557,568244
156196,hold,172588,210346,617067
156256,hold,192909,194700,612391
156316,hold,233703,229572,536725
156376,hold,197339,212844,589817
156436,hold,222320,242330,535351
156496,hold,242229,250507,507264
156556,hold,329640,247931,422429
156616,hold,252472,236409,511120
156676,hold,207440,224905,567656
156736,hold,186250,194514,619236
156796,hold,219543,190580,589877
156856,hold,159550,186139,654311
156916,hold,168731,204880,626389
156976,hold,242614,214512,542874
157036,hold,238341,214871,546788
157096,hold,186636,195618,617745
157156,hold,160010,183836,656154
157216,hold,177052,195351,627597
157276,hold,174045,195883,630072
157336,hold,170855,194758,634387
157396,hold,285314,264336,450350
157456,hold,287308,230512,482179
157516,hold,177414,205267,617319
157576,hold,211394,238333,550273
157636,long,353715,309376,336909
157696,hold,262770,249519,487712
157756,hold,211211,272656,516133
157816,hold,255195,260887,483918
157876,hold,246374,226144,527482
157936,hold,277167,229828,493005
157996,hold,199502,212382,588116
158056,hold,187301,192574,620125
158116,hold,184619,207057,608325
158176,hold,238566,236802,524632
158236,hold,289625,273209,437166
158296,hold,312822,245140,442037
158356,hold,256130,237505,506365
158416,hold,303401,304195,392404
158476,long,473076,343336,183588
158536,long,396081,300367,303552
158596,hold,256129,278511,465360
158656,hold,232693,278900,488406
158716,hold,203684,230533,565783
158776,hold,258545,258212,483243
158836,hold,214061,242074,543865
158896,hold,185160,223882,590958
158956,hold,217734,264821,517445
159016,hold,207278,225750,566972
159076,hold,287019,335376,377605
159136,hold,318900,321321,359779
159196,long,393099,302623,304278
159256,long,438992,352527,208481
159316,long,440644,369271,190085
159376,hold,337293,307906,354801
159436,long,504147,412015,83838
159496,long,450666,295866,253468
159556,hold,327671,266110,406219
159616,hold,207956,267818,524225
159676,hold,243330,222444,534226
159736,hold,316276,255573,428151
159796,hold,244270,219564,536166
159856,hold,260518,255601,483881
159916,long,534423,342051,123526
159976,long,356515,332806,310679
160036,long,356239,341824,301937
160096,hold,199766,258028,542207
160156,hold,221852,256060,522088
160216,hold,249200,270441,480359
160276,hold,194928,218319,586754
160336,hold,219002,242180,538818
160396,hold,251091,261724,487185
160456,hold,214664,236557,548779
160516,hold,239383,240386,520230
160576,hold,212016,236587,551397
160636,long,480097,400736,119167
160696,long,484250,372322,143428
160756,short,370435,394805,234760
160816,short,386792,422230,190977
160876,short,295597,355596,348806
160936,hold,336442,309359,354199
160996,hold,235963,277962,486075
161056,long,355269,326253,318477
161116,hold,293267,263538,443195
161176,long,772429,219359,8212
161236,long,362056,306186,331758
161296,long,506561,335138,158300
161356,long,411254,364689,224057
161416,long,434242,285180,280578
161476,hold,254002,268304,477694
161536,hold,196746,220772,582482
161596,hold,262854,309467,427679
161656,hold,259166,253663,487171
161716,hold,252511,265591,481897
161776,short,392885,416486,190628
161836,hold,305053,255426,439522
161896,short,361101,402959,235940
161956,hold,227960,235323,536717
162016,short,316037,352580,331383
162076,hold,289847,274261,435892
162136,long,712523,272434,15044
162196,short,461270,486522,52208
162256,long,395465,352201,252334
162316,hold,282818,297249,419933
162376,hold,316013,308254,375734
162436,hold,326635,331728,341638
162496,hold,332473,277125,390402
162556,hold,336543,254311,409146
162616,long,409008,311060,279932
162676,hold,231772,246189,522039
162736,hold,253416,326265,420319
162796,hold,275338,312537,412126
162856,hold,311979,241611,446410
162916,hold,285282,277736,436982
162976,long,464784,365659,169557
163036,hold,246358,221249,532393
163096,hold,304254,304046,391699
163156,long,357864,281295,360841
163216,hold,294491,289280,416229
163276,long,380656,277453,341892
163336,hold,283033,248604,468363
163396,hold,222882,256086,521032
163456,hold,327298,246640,426062
163516,hold,275259,271418,453323
163576,long,412728,386314,200959
163636,long,355200,346156,298644
163696,hold,287573,248953,463473
163756,short,299566,410886,289548
163816,long,368864,279162,351973
163876,hold,231748,270799,497453
163936,hold,211033,274397,514570
163996,hold,191142,203501,605357
164056,hold,313818,261915,424266
164116,hold,218768,210918,570314
164176,hold,309418,289721,400861
164236,short,299856,368169,331976
164296,short,320991,343039,335970
164356,long,407002,286226,306772
164416,hold,269249,256207,474545
164476,hold,304880,254039,441081
164536,hold,315011,286880,398108
164596,hold,201297,241703,557000
164656,hold,257654,250242,492103
164716,hold,219194,244818,535988
164776,hold,222495,244185,533320
164836,long,377932,280680,341388
164896,short,345505,453850,200645
164956,long,384850,331533,283618
165016,short,403081,562097,34822
165076,long,497522,385483,116995
165136,short,310324,356229,333447
165196,hold,258371,255744,485885
165256,long,422331,316012,261658
165316,hold,239696,269137,491167
165376,hold,259857,253687,486456
165436,hold,262918,234420,502662
165496,hold,337197,280041,382761
165556,hold,170497,242077,587427
165616,hold,301890,266831,431278
165676,hold,216839,239066,544095
165736,hold,205655,236623,557722
165796,hold,213447,238645,547908
165856,hold,200929,234471,564600
165916,hold,236482,234660,528858
165976,hold,245639,220869,533492
166036,hold,271108,222951,505942
166096,hold,276448,242466,481087
166156,hold,283079,282219,434701
166216,hold,230466,234933,534601
166276,hold,238851,234444,526704
166336,hold,317745,249438,432817
166396,hold,237105,242200,520695
166456,long,353405,323206,323389
166516,hold,240202,219730,540069
166576,hold,259137,224176,516686
166636,hold,229325,242461,528214
166696,hold,163880,197800,638320
166756,hold,243398,215218,541384
166816,hold,155775,201021,643204
166876,hold,209198,209490,581312
166936,hold,264789,250551,484660
166996,hold,188871,237149,573980
167056,hold,250118,222510,527372
167116,long,370342,328918,300740
167176,long,454087,306812,239101
167236,hold,186046,211356,602598
167296,hold,283008,232893,484099
167356,hold,264896,245375,489729
167416,hold,266589,247370,486041
167476,hold,274099,233835,492066
167536,hold,251902,245009,503089
167596,hold,207620,211507,580872
167656,hold,195726,205916,598358
167716,hold,232194,227839,539967
167776,hold,205823,233573,560603
167836,hold,311647,267978,420375
167896,hold,237670,253987,508342
167956,hold,269278,248063,482659
168016,hold,273991,255091,470917
168076,long,346781,258117,395102
168136,hold,264647,231373,503980
168196,hold,216362,208559,575080
168256,hold,248733,223685,527581
168316,hold,196025,229266,574708
168376,hold,250443,288324,461233
168436,hold,300777,306901,392322
168496,long,356857,341355,301788
168556,short,355251,367774,276975
168616,long,361268,318281,320450
168676,long,346197,258775,395028
168736,hold,292715,265012,442273
168796,hold,244977,249518,505505
168856,hold,252887,272869,474244
168916,hold,185676,231469,582855
168976,hold,248863,243875,507262
169036,hold,247938,261432,490630
169096,hold,201406,245011,553583
169156,hold,281064,271794,447141
169216,hold,320388,297879,381733
169276,hold,304689,280686,414625
169336,long,459283,334543,206174
169396,long,431337,323731,244932
169456,long,429174,336733,234093
169516,hold,258149,258181,483670
169576,hold,234273,247631,518096
169636,hold,318591,249564,431845
169696,hold,207023,233248,559728
169756,hold,200890,227195,571915
169816,hold,186831,202377,610792
169876,hold,245018,241859,513124
169936,hold,239946,271587,488467
169996,short,349557,489898,160545
170056,long,371604,288466,339930
170116,long,343637,305087,351276
170176,hold,248745,226418,524837
170236,hold,280856,291685,427458
170296,hold,219728,204262,576010
170356,hold,224026,220841,555133
170416,hold,196562,213921,589518
170476,hold,234978,250551,514471
170536,hold,237915,228135,533949
170596,hold,318393,276358,405249
170656,hold,215797,256389,527814
170716,short,297304,354716,347980
170776,short,355284,363894,280822
170836,hold,251252,257122,491626
170896,hold,302995,258728,438277
170956,long,377910,292559,329531
171016,long,351979,273355,374666
171076,hold,267145,266290,466565
171136,hold,229472,282384,488144
171196,short,307524,405351,287126
171256,long,400135,341417,258448
171316,long,370255,365612,264134
171376,hold,256749,239764,503487
171436,hold,235845,248405,515750
171496,hold,274125,239045,486831
171556,hold,283077,249294,467629
171616,hold,317453,249481,433066
171676,hold,280208,261450,458342
171736,hold,246371,217542,536086
171796,hold,281201,233200,485598
171856,hold,293202,241208,465591
171916,hold,196797,227009,576194
171976,hold,204604,198796,596600
172036,hold,195218,235510,569271
172096,hold,249981,257580,492439
172156,long,418975,387984,193041
172216,long,564100,342016,93884
172276,long,396668,290050,313283
172336,long,341401,328373,330226
172396,hold,303064,259475,437461
172456,hold,309978,270378,419644
172516,hold,262525,277238,460237
172576,hold,331638,329167,339195
172636,hold,250975,248444,500580
172696,hold,290797,302246,406957
172756,long,377082,269280,353637
172816,hold,252471,239708,507821
172876,hold,184116,212827,603056
172936,hold,222227,243654,534119
172996,hold,264783,314174,421043
173056,hold,232903,239373,527723
173116,hold,222595,207701,569704
173176,hold,197930,214334,587735
