sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
25396,hold,0,0,1000000
25456,hold,0,0,1000000
25516,hold,0,0,1000000
25576,hold,0,0,1000000
25636,hold,0,0,1000000
25696,hold,0,0,1000000
25756,hold,0,0,1000000
25816,hold,0,0,1000000
25876,hold,248585,235436,515979
25936,hold,0,0,1000000
25996,hold,0,0,1000000
26056,hold,247596,226835,525569
26116,hold,0,0,1000000
26176,hold,378496,297842,323662
26236,hold,385777,408793,205430
26296,hold,221863,234777,543360
26356,hold,250393,244430,505176
26416,hold,301683,349575,348742
26476,short,367007,541995,90999
26536,hold,456056,312641,231303
26596,hold,0,0,1000000
26656,hold,0,0,1000000
26716,hold,306544,295601,397855
26776,hold,0,0,1000000
26836,hold,0,0,1000000
26896,hold,0,0,1000000
26956,hold,0,0,1000000
27016,hold,246930,224972,528099
27076,hold,0,0,1000000
27136,hold,354446,424136,221417
27196,hold,0,0,1000000
27256,long,666762,331960,1278
27316,long,696575,303162,263
27376,hold,0,0,1000000
27436,hold,0,0,1000000
27496,hold,0,0,1000000
27556,hold,0,0,1000000
27616,hold,0,0,1000000
27676,hold,375292,359754,264955
27736,hold,0,0,1000000
27796,long,591785,405587,2627
27856,hold,0,0,1000000
27916,hold,446972,409100,143928
27976,long,528573,331591,139836
28036,hold,0,0,1000000
28096,hold,0,0,1000000
28156,hold,0,0,1000000
28216,hold,0,0,1000000
28276,hold,0,0,1000000
28336,short,429536,570396,68
28396,hold,0,0,1000000
28456,hold,0,0,1000000
28516,hold,0,0,1000000
28576,hold,0,0,1000000
28636,hold,0,0,1000000
28696,hold,0,0,1000000
28756,hold,0,0,1000000
28816,hold,0,0,1000000
28876,hold,0,0,1000000
28936,hold,0,0,1000000
28996,hold,0,0,1000000
29056,hold,0,0,1000000
29116,hold,0,0,1000000
29176,hold,0,0,1000000
29236,hold,0,0,1000000
29296,hold,0,0,1000000
29356,hold,0,0,1000000
29416,hold,0,0,1000000
29476,hold,329371,332355,338274
29536,long,561377,385551,53071
29596,hold,0,0,1000000
29656,hold,0,0,1000000
29716,long,611466,378088,10446
29776,short,370201,623837,5962
29836,hold,0,0,1000000
29896,hold,354784,335418,309798
29956,hold,0,0,1000000
30016,hold,0,0,1000000
30076,hold,389836,386007,224157
