sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
251656,hold,238323,284037,477640
251716,hold,295599,269380,435021
251776,hold,321570,263515,414915
251836,hold,246466,249898,503636
251896,hold,241547,289027,469426
251956,hold,222640,243367,533993
252016,hold,287591,251902,460507
252076,long,351719,291780,356501
252136,long,385796,329575,284628
252196,hold,268772,286057,445171
252256,hold,257173,246472,496355
252316,hold,213999,223917,562084
252376,hold,224023,239754,536223
252436,hold,214060,202159,583781
252496,hold,192753,210579,596668
252556,hold,222134,233989,543877
252616,hold,270781,255125,474094
252676,hold,210291,218683,571027
252736,hold,221082,240654,538264
252796,hold,283362,272133,444505
252856,short,340675,483184,176141
252916,short,402280,436165,161555
252976,long,425329,285527,289144
253036,hold,330852,290328,378820
253096,hold,315778,283719,400503
253156,hold,268965,258380,472655
253216,hold,321374,289525,389101
253276,hold,278711,293734,427555
253336,hold,303833,273392,422775
253396,hold,297150,283453,419396
253456,hold,303034,260956,436010
253516,hold,246632,244411,508957
253576,hold,306510,245711,447779
253636,hold,273379,297772,428849
253696,hold,248897,245383,505720
253756,hold,228872,233921,537207
253816,hold,242404,247613,509984
253876,hold,212793,253773,533434
253936,hold,234464,208872,556664
253996,long,382943,376398,240659
254056,hold,245181,246508,508311
254116,hold,210253,238249,551499
254176,hold,215105,236899,547996
254236,hold,260478,268369,471153
254296,long,355157,329170,315673
254356,hold,295046,321964,382989
254416,hold,332110,320596,347294
254476,hold,332934,312604,354462
254536,hold,280711,256127,463162
254596,hold,274486,276141,449373
254656,hold,224672,220821,554508
254716,hold,265585,296511,437904
254776,long,353403,298701,347896
254836,hold,239361,239044,521595
254896,hold,211098,228613,560289
254956,long,361868,316813,321319
255016,hold,265233,228057,506711
255076,hold,173405,220118,606478
255136,hold,168353,176395,655251
255196,hold,168268,176121,655611
255256,hold,261722,229107,509171
255316,hold,249421,206740,543839
255376,hold,298349,241601,460050
255436,hold,287951,252485,459564
255496,hold,262276,297501,440223
255556,hold,199669,220961,579370
255616,hold,234872,234244,530884
255676,hold,324638,284544,390818
255736,short,321142,359421,319437
255796,long,356517,300327,343156
255856,hold,230778,233160,536061
255916,hold,245029,260495,494475
255976,long,341479,295253,363268
256036,hold,301300,295495,403205
256096,hold,277730,247822,474448
256156,hold,197234,228303,574463
256216,hold,282278,235082,482641
256276,hold,241991,246024,511986
256336,hold,188744,200217,611039
256396,hold,202166,226796,571038
256456,hold,221378,211616,567006
256516,hold,157589,203665,638745
256576,hold,147830,195653,656517
256636,hold,144772,157686,697543
256696,hold,140623,144901,714476
256756,hold,124998,157495,717507
256816,hold,136700,176975,686324
256876,hold,175488,183506,641006
256936,hold,174185,190337,635477
256996,hold,183641,184539,631820
257056,hold,135530,173766,690704
257116,hold,135118,175118,689764
257176,hold,245056,185937,569007
257236,hold,207614,190772,601614
257296,hold,215654,215568,568778
257356,hold,229145,214567,556288
257416,hold,182912,196925,620163
257476,hold,202233,186511,611256
257536,hold,146788,146734,706479
257596,hold,187288,186200,626512
257656,hold,182993,188984,628023
257716,hold,144533,174693,680774
257776,hold,134856,147772,717371
257836,hold,147313,163433,689254
257896,hold,181105,170457,648438
257956,hold,162828,177933,659239
258016,hold,202456,201708,595837
258076,hold,163439,181050,655511
258136,hold,145313,126733,727954
258196,hold,160715,174925,664360
258256,hold,127380,136351,736269
258316,hold,168733,148354,682914
258376,hold,172791,166184,661025
258436,hold,160910,199045,640045
258496,hold,202006,206454,591540
258556,hold,213382,242319,544299
258616,hold,252591,218841,528568
258676,hold,262721,260356,476923
258736,hold,293305,271400,435296
258796,hold,220263,221262,558476
258856,hold,170368,193828,635804
258916,hold,174089,220932,604980
258976,hold,217467,213731,568803
259036,hold,181906,212221,605873
259096,hold,236472,172784,590744
259156,hold,254540,261279,484181
259216,hold,201056,183734,615209
259276,hold,270199,265759,464042
259336,hold,211416,226273,562312
259396,hold,180953,217823,601223
259456,hold,167927,190458,641614
259516,hold,207774,194519,597707
259576,hold,173446,191401,635153
259636,hold,319604,228323,452073
259696,hold,186165,217967,595868
259756,hold,206844,205053,588103
259816,hold,160009,188945,651046
259876,hold,204664,170958,624377
259936,hold,221489,231560,546951
259996,hold,218749,229612,551639
