sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
24316,hold,296282,305479,398239
24376,hold,289228,308566,402206
24436,hold,290192,307282,402526
24496,hold,286502,305535,407963
24556,hold,288146,309653,402201
24616,hold,288773,300792,410435
24676,hold,296583,297149,406268
24736,hold,287164,306178,406658
24796,hold,283926,300367,415706
24856,hold,281811,327295,390895
24916,hold,283865,299046,417089
24976,hold,292196,305122,402682
25036,hold,279058,291546,429396
25096,hold,280165,293951,425884
25156,hold,291687,308499,399814
25216,hold,284332,302477,413192
25276,hold,286467,305756,407777
25336,hold,287556,303216,409227
25396,hold,289674,301706,408620
25456,hold,300311,303839,395850
25516,hold,298922,306251,394827
25576,hold,285409,300292,414299
25636,hold,293974,300175,405851
25696,hold,285678,312537,401785
25756,hold,298274,311200,390526
25816,hold,294568,302213,403219
25876,hold,290186,305596,404218
25936,hold,290854,315096,394050
25996,hold,284297,305309,410394
26056,hold,301683,315239,383078
26116,hold,286343,308300,405357
26176,hold,291087,307099,401814
26236,hold,294576,302327,403096
26296,hold,292675,312433,394892
26356,hold,291345,306389,402267
26416,hold,295387,311055,393557
26476,hold,285704,304660,409637
26536,hold,291057,300908,408035
26596,hold,299551,315036,385413
26656,hold,295555,317972,386473
26716,hold,280322,304696,414982
26776,hold,294584,305011,400404
26836,hold,292342,300546,407113
26896,hold,284864,301876,413261
26956,hold,292447,302749,404804
27016,hold,291905,301156,406940
27076,hold,288614,302299,409086
27136,hold,285868,307943,406189
27196,hold,280303,293244,426452
27256,hold,286647,298490,414863
27316,hold,298007,306565,395428
27376,hold,300543,304485,394972
27436,hold,291682,310120,398198
27496,hold,289144,306937,403919
27556,hold,289304,303072,407624
27616,hold,298482,310268,391250
27676,hold,289401,315521,395079
27736,hold,290139,307492,402370
27796,hold,287168,310587,402245
27856,hold,295581,313552,390867
27916,hold,292985,307562,399453
27976,hold,291921,314201,393877
28036,hold,286768,309735,403497
28096,hold,294670,305558,399773
28156,hold,288654,304822,406524
28216,hold,286859,303251,409890
28276,hold,289796,303069,407135
28336,hold,292816,302874,404310
28396,hold,297184,317992,384824
28456,hold,284565,306214,409221
28516,hold,292035,303996,403969
28576,hold,285684,298172,416144
28636,hold,293547,318779,387674
28696,hold,284333,299125,416542
28756,hold,282831,294494,422674
28816,hold,292245,302511,405244
28876,hold,288114,302135,409751
28936,hold,284402,307694,407904
28996,hold,278803,293429,427768
29056,hold,287998,305443,406560
29116,hold,291469,309349,399182
29176,hold,296597,308910,394493
29236,hold,285868,305511,408621
29296,hold,294038,307495,398467
29356,hold,279012,299505,421484
29416,hold,287446,310831,401723
29476,hold,291843,310213,397944
29536,hold,295692,305737,398570
29596,hold,292778,304885,402336
29656,hold,291511,308585,399905
29716,hold,290214,305577,404208
29776,hold,293795,302218,403987
29836,hold,288223,307606,404171
29896,hold,285718,299878,414404
29956,hold,287906,305217,406878
30016,hold,285981,300762,413257
30076,hold,288119,305401,406480
30136,hold,286000,299614,414386
30196,hold,304376,311454,384170
30256,hold,282221,304476,413303
30316,hold,288101,303991,407908
30376,hold,296799,305692,397509
30436,hold,296301,299837,403863
30496,hold,282871,297683,419446
30556,hold,293359,305654,400988
30616,hold,289437,301871,408693
30676,hold,280705,310450,408845
30736,hold,287649,308167,404184
30796,hold,289667,305792,404541
30856,hold,285350,297332,417319
30916,hold,304210,304969,390821
30976,hold,284692,305324,409984
31036,hold,287753,297129,415118
31096,hold,293459,303102,403440
31156,hold,291749,305172,403080
31216,hold,288952,307672,403376
31276,hold,296353,312700,390947
31336,hold,285530,306664,407806
31396,hold,291556,304682,403762
31456,hold,284503,301809,413688
31516,hold,291216,306246,402538
31576,hold,290261,304126,405612
31636,hold,299629,304922,395449
31696,hold,291654,303428,404918
31756,hold,293289,304697,402014
31816,hold,286417,303863,409720
31876,hold,283686,316736,399578
31936,hold,288075,302857,409068
31996,hold,297452,306662,395886
32056,hold,289164,309717,401119
32116,hold,294351,302316,403334
32176,hold,292626,301289,406084
32236,hold,288834,312258,398908
32296,hold,294637,304959,400404
32356,hold,293026,306278,400695
32416,hold,287770,303466,408764
32476,hold,298973,307264,393762
32536,hold,281627,308075,410298
32596,hold,291729,302787,405484
32656,hold,296699,312620,390681
32716,hold,288272,318970,392758
32776,hold,283602,300421,415977
32836,hold,287816,301744,410439
32896,hold,293788,303203,403009
32956,hold,282563,302095,415343
33016,hold,288786,300806,410408
33076,hold,287601,309043,403356
33136,hold,293044,312699,394257
33196,hold,286220,295068,418712
33256,hold,291371,310242,398387
33316,hold,284983,307057,407960
33376,hold,281487,299904,418610
33436,hold,286313,297231,416456
33496,hold,290800,305289,403910
33556,hold,286526,301227,412248
33616,hold,291083,305191,403725
33676,hold,298672,307376,393952
33736,hold,296518,304455,399027
33796,hold,305389,303021,391590
33856,hold,289703,313353,396944
33916,hold,287239,298829,413932
33976,hold,293965,302291,403745
34036,hold,274349,292073,433578
34096,hold,287192,305334,407474
34156,hold,299916,306680,393404
34216,hold,291487,309165,399348
34276,hold,291394,303058,405548
34336,hold,292035,306179,401786
34396,hold,277316,296675,426009
34456,hold,298995,309657,391348
34516,hold,291518,306752,401730
34576,hold,284576,300366,415059
34636,hold,289423,312893,397684
34696,hold,292087,317405,390508
34756,hold,284315,305001,410685
34816,hold,279651,303468,416881
34876,hold,282820,316115,401065
34936,hold,300273,309725,390002
34996,hold,305084,305993,388923
35056,hold,289416,311855,398728
35116,hold,290951,303373,405676
35176,hold,294696,302127,403176
35236,hold,281814,300563,417623
35296,hold,300641,312627,386732
35356,hold,279991,292846,427162
35416,hold,291758,308525,399717
35476,hold,296992,312637,390370
35536,hold,280988,298192,420821
35596,hold,287633,306032,406335
35656,hold,276249,297327,426425
35716,hold,291120,314683,394197
35776,hold,280392,296030,423578
35836,hold,299487,311253,389260
35896,hold,283649,306488,409863
35956,hold,290174,312839,396987
36016,hold,284266,295836,419898
36076,hold,298708,320701,380591
36136,hold,298088,310033,391878
36196,hold,293874,313171,392955
36256,hold,285156,303880,410964
36316,hold,296788,303042,400170
36376,hold,282082,314112,403806
36436,hold,283276,300737,415987
36496,hold,290071,301391,408538
36556,hold,289505,299127,411368
36616,hold,282837,305081,412082
36676,hold,282972,299184,417843
36736,hold,286058,315293,398649
36796,hold,302541,310876,386582
36856,hold,294878,304696,400426
36916,hold,294915,307994,397092
36976,hold,291200,310553,398247
37036,hold,291577,312311,396112
37096,hold,292491,307249,400260
37156,hold,298451,311843,389707
37216,hold,286037,314194,399769
37276,hold,293475,295840,410684
37336,hold,299373,316376,384251
37396,hold,290546,308565,400889
37456,hold,283405,298302,418294
37516,hold,282247,296130,421623
37576,hold,290791,310510,398699
37636,hold,295060,299602,405338
37696,hold,294973,297558,407468
37756,hold,297232,301849,400919
37816,hold,293737,302357,403906
37876,hold,283576,303187,413236
37936,hold,277667,303237,419096
37996,hold,297268,312014,390718
38056,hold,281567,299111,419322
38116,hold,284883,298719,416398
38176,hold,291477,306361,402162
38236,hold,288809,307849,403342
38296,hold,299663,307640,392696
38356,hold,292324,307168,400507
38416,hold,285878,299550,414572
38476,hold,290300,313300,396400
38536,hold,287730,294462,417808
38596,hold,287615,304394,407991
38656,hold,283845,311670,404485
38716,hold,293620,305798,400582
38776,hold,292943,308511,398546
38836,hold,289481,311806,398712
38896,hold,291608,307251,401141
38956,hold,296440,303421,400139
39016,hold,291983,305104,402913
39076,hold,291850,311051,397099
39136,hold,292760,299742,407498
39196,hold,289073,302964,407963
39256,hold,284544,299524,415931
39316,hold,301454,304044,394502
39376,hold,284911,305308,409780
39436,hold,295928,303857,400215
39496,hold,288467,306571,404962
39556,hold,293027,304725,402248
39616,hold,287464,307140,405396
39676,hold,292378,310682,396940
39736,hold,281605,298871,419524
39796,hold,289896,305597,404507
39856,hold,278620,305943,415437
39916,hold,294952,305626,399422
39976,hold,286432,303174,410394
40036,hold,291594,307018,401388
40096,hold,291250,306341,402409
40156,hold,291224,308002,400774
40216,hold,295621,300920,403459
40276,hold,285471,308069,406460
40336,hold,297488,309941,392572
40396,hold,289325,325362,385313
40456,hold,281078,297144,421778
40516,hold,288652,303881,407467
40576,hold,288208,306211,405582
40636,hold,287252,309139,403609
40696,hold,291399,309698,398902
40756,hold,289961,305221,404817
40816,hold,280154,299092,420755
40876,hold,285349,300769,413882
40936,hold,282293,300525,417183
40996,hold,288989,307317,403694
41056,hold,281067,296066,422867
41116,hold,287790,308941,403270
41176,hold,276997,298258,424745
41236,hold,289110,307177,403713
41296,hold,286156,300045,413800
41356,hold,290699,304475,404827
41416,hold,296368,316023,387609
41476,hold,291649,302396,405955
41536,hold,284338,299931,415732
41596,hold,290409,307622,401968
